username,league,team,country,region,agents,rounds,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs,clutch_rate
florescent,VCT Game Changers,SR,Viet Nam,Pacific,"[""Raze"", ""Jett""]",1160,1.45,306.6,1.69,78,196.0,1.09,0.21,0.21,0.12,26,16
Alexy,VCT Game Changers,XIP,Philippines,Pacific,"[""Raze"", ""Jett""]",563,1.38,256.8,1.73,83,167.7,0.94,0.29,0.14,0.10,26,11
dorothy,VCT Game Changers,MIR.GC,"Korea, Republic of",Pacific,"[""Jett"", ""Neon""]",335,1.35,278.6,1.46,78,182.6,0.99,0.19,0.21,0.11,24,24
Miku,VCT Game Changers,NCL.GC,Colombia,Americas,"[""Yoru"", ""Reyna""]",607,1.34,306.6,1.41,75,188.4,1.04,0.25,0.30,0.18,20,16
srN,VCT Game Changers,MIBR.GC,Brazil,Americas,"[""Jett"", ""Raze""]",870,1.34,295.0,1.43,75,193.3,1.03,0.22,0.27,0.18,23,25
Vania,VCT Game Changers,G2.G,Türkiye,Pacific,"[""Omen"", ""Viper""]",1064,1.34,234.5,1.52,83,151.8,0.85,0.41,0.08,0.05,38,21
shirazi,VCT Game Changers,XIP,Philippines,Pacific,"[""Killjoy"", ""Viper""]",563,1.32,231.6,1.59,82,156.9,0.82,0.34,0.09,0.05,20,19
conir,VCT Game Changers,KRÜ.B,Chile,Americas,"[""Omen"", ""Gekko""]",750,1.30,225.9,1.50,82,146.2,0.84,0.41,0.08,0.06,28,29
dods,VCT Game Changers,KRÜ.B,Brazil,Americas,"[""Fade"", ""Skye""]",750,1.29,278.6,1.46,77,180.1,1.01,0.21,0.23,0.14,32,30
Nezha,VCT Game Changers,BBB,Mexico,Americas,"[""Breach"", ""Skye""]",427,1.29,264.1,1.39,78,165.9,0.96,0.38,0.12,0.10,36,15
mmonch,VCT Game Changers,AKV.GC,Mexico,Americas,"[""Gekko"", ""Viper""]",979,1.28,231.8,1.43,78,151.3,0.85,0.26,0.09,0.05,32,21
Kamiyu,VCT Game Changers,XIP,Philippines,Pacific,"[""Skye"", ""Omen""]",563,1.28,234.1,1.46,82,151.9,0.84,0.48,0.07,0.06,33,32
enerii,VCT Game Changers,XIP,Indonesia,Pacific,"[""Reyna"", ""Skye""]",563,1.28,271.1,1.46,79,171.3,0.95,0.26,0.22,0.14,25,4
tok1o,VCT Game Changers,9ZG.GC,Argentina,Americas,"[""Chamber"", ""Raze""]",804,1.27,267.2,1.35,74,174.0,0.95,0.18,0.19,0.15,26,21
Jade,VCT Game Changers,,Germany,EMEA,"[""Omen"", ""KAY/O""]",838,1.25,233.6,1.21,77,150.1,0.82,0.50,0.09,0.04,31,17
dodonut,VCT Game Changers,FLY.R,Thailand,Pacific,"[""Raze"", ""Jett""]",1854,1.24,261.2,1.33,76,169.0,0.91,0.23,0.20,0.15,24,17
elfie,VCT Game Changers,MKS,Singapore,Pacific,"[""Phoenix"", ""Reyna""]",447,1.23,249.7,1.18,73,165.2,0.88,0.26,0.12,0.12,28,20
Jelly,VCT Game Changers,MIBR.GC,Brazil,Americas,"[""KAY/O"", ""Fade""]",870,1.22,233.4,1.28,78,149.0,0.85,0.37,0.10,0.06,37,17
Lied,VCT Game Changers,FSX,Peru,Americas,"[""Raze"", ""Omen""]",1055,1.22,268.3,1.28,73,175.7,0.94,0.23,0.21,0.14,25,19
lexa,VCT Game Changers,TWIS.O,Sweden,EMEA,"[""Killjoy"", ""Cypher""]",317,1.21,235.8,1.33,74,161.5,0.84,0.20,0.09,0.07,30,11
patitop,VCT Game Changers,,Chile,Americas,"[""Killjoy"", ""Cypher""]",443,1.21,242.4,1.27,72,165.9,0.88,0.16,0.12,0.11,33,17
Liz,VCT Game Changers,NTH,Mexico,Americas,"[""Jett"", ""Raze""]",363,1.20,246.6,1.22,71,168.6,0.85,0.24,0.14,0.09,35,10
aNNja,VCT Game Changers,NSR.I,Serbia,EMEA,"[""Jett"", ""Raze""]",516,1.20,258.3,1.23,70,171.1,0.91,0.19,0.18,0.16,35,17
Emi,VCT Game Changers,BLW,Australia,Pacific,"[""Yoru"", ""Killjoy""]",311,1.18,227.9,1.18,72,150.2,0.81,0.29,0.15,0.09,23,24
miNt,VCT Game Changers,FL.GC,"Korea, Republic of",Pacific,"[""Jett""]",686,1.18,266.2,1.28,71,169.4,0.95,0.15,0.24,0.17,33,20
PowerPixele,VCT Game Changers,PP,United States,Americas,"[""Viper"", ""Breach""]",550,1.17,224.6,1.20,79,144.4,0.77,0.51,0.09,0.07,20,22
eva,VCT Game Changers,FLCV,Türkiye,Pacific,"[""Omen"", ""Skye""]",1407,1.17,209.1,1.27,76,136.8,0.78,0.25,0.05,0.05,30,14
UR,VCT Game Changers,ZETA.GC,Japan,Pacific,"[""Gekko"", ""Viper""]",628,1.17,220.9,1.17,73,147.3,0.78,0.36,0.08,0.07,25,25
waved,VCT Game Changers,LOUD.GC,Brazil,Americas,"[""Raze"", ""Jett""]",586,1.17,262.7,1.20,73,174.3,0.89,0.20,0.22,0.15,28,17
LunaFox,VCT Game Changers,KS,United States,Americas,"[""Skye"", ""Gekko""]",644,1.16,231.0,1.11,71,156.7,0.80,0.36,0.11,0.11,34,13
Bizerra,VCT Game Changers,TL,Brazil,Americas,"[""Sage"", ""Killjoy""]",894,1.16,218.4,1.15,74,147.6,0.76,0.35,0.09,0.08,27,16
mads,VCT Game Changers,MDK,United Kingdom,EMEA,"[""Raze""]",556,1.16,242.1,1.22,74,158.4,0.86,0.19,0.15,0.13,21,17
Babytz,VCT Game Changers,FSS,Thailand,Pacific,"[""Phoenix"", ""Cypher""]",745,1.16,231.8,1.21,71,156.5,0.82,0.27,0.12,0.12,23,22
Leen,VCT Game Changers,,Saudi Arabia,EMEA,"[""Neon"", ""Raze""]",431,1.16,263.3,1.25,71,170.0,0.92,0.19,0.20,0.15,31,21
bstrdd,VCT Game Changers,TL,Chile,Americas,"[""Raze"", ""Jett""]",894,1.15,249.2,1.21,71,162.7,0.87,0.19,0.19,0.17,26,19
Moco,VCT Game Changers,,Japan,Pacific,"[""Viper"", ""Omen""]",628,1.15,206.7,1.17,75,132.5,0.74,0.39,0.06,0.08,23,13
Bless,VCT Game Changers,Erit,Singapore,Pacific,"[""Cypher"", ""Killjoy""]",256,1.15,201.7,1.18,68,133.5,0.75,0.17,0.09,0.05,37,23
Kon,VCT Game Changers,SISU,Philippines,Pacific,"[""Sage"", ""Clove""]",598,1.14,227.6,1.15,74,156.8,0.79,0.28,0.11,0.08,35,8
grahams,VCT Game Changers,SISU,Philippines,Pacific,"[""Gekko"", ""Skye""]",769,1.14,233.9,1.16,75,150.2,0.81,0.28,0.12,0.12,35,15
L4CE,VCT Game Changers,UCI,United States,Americas,"[""Viper"", ""Sova""]",1335,1.14,215.1,1.20,78,139.9,0.76,0.34,0.08,0.05,32,13
StarBound,VCT Game Changers,FLY.R,Canada,Americas,"[""Cypher"", ""Killjoy""]",1854,1.14,215.3,1.24,75,142.6,0.77,0.21,0.09,0.07,20,17
Joliinaa,VCT Game Changers,GX.GC,Sweden,EMEA,"[""Omen"", ""Astra""]",1373,1.14,221.7,1.17,76,140.2,0.78,0.43,0.09,0.06,27,20
Cendary,VCT Game Changers,NF,Thailand,Pacific,[],201,1.14,288.1,1.10,77,190.7,0.99,0.37,0.14,0.12,24,10
unstable,VCT Game Changers,DSG,"Korea, Republic of",Pacific,"[""Skye"", ""Jett""]",828,1.14,228.9,1.27,76,143.1,0.84,0.24,0.16,0.10,32,18
rezq,VCT Game Changers,G2.G,Türkiye,Pacific,"[""Raze"", ""Jett""]",1064,1.14,260.3,1.29,74,164.7,0.91,0.20,0.25,0.17,25,22
antG,VCT Game Changers,LOUD.GC,Brazil,Americas,"[""Brimstone"", ""Viper""]",586,1.14,213.0,1.14,75,135.2,0.78,0.36,0.08,0.08,31,10
Akita,VCT Game Changers,ZER.M,France,EMEA,"[""Reyna"", ""Phoenix""]",418,1.14,267.9,1.17,71,172.2,0.93,0.18,0.23,0.19,27,27
bethany,VCT Game Changers,SL9,Australia,Pacific,"[""Omen"", ""Sage""]",209,1.14,209.0,1.14,77,134.1,0.76,0.41,0.08,0.07,22,17
ness,VCT Game Changers,GX.GC,Türkiye,Pacific,"[""Killjoy"", ""Cypher""]",1334,1.13,203.0,1.13,77,137.0,0.71,0.33,0.07,0.05,26,14
vaZ,VCT Game Changers,ROA,Chile,Americas,"[""Astra"", ""Viper""]",386,1.13,190.4,1.11,76,130.9,0.68,0.34,0.05,0.05,25,22
fluxxy,VCT Game Changers,HERO,Sint Maarten (Dutch part),Americas,"[""Breach"", ""Cypher""]",1086,1.13,214.2,1.16,76,143.6,0.77,0.24,0.08,0.07,30,17
Kohaibi,VCT Game Changers,SMG.GC,Singapore,Pacific,"[""Brimstone"", ""Sova""]",745,1.13,222.3,1.14,76,146.3,0.76,0.29,0.10,0.07,25,9
Lil Bob,VCT Game Changers,MDK,Germany,EMEA,"[""Omen"", ""Brimstone""]",678,1.13,216.6,1.14,72,145.7,0.77,0.35,0.08,0.06,28,20
Micro,VCT Game Changers,LL,Thailand,Pacific,"[""Omen"", ""Reyna""]",292,1.13,245.7,1.13,76,165.0,0.87,0.20,0.14,0.13,36,10
romily,VCT Game Changers,KRÜ.B,Chile,Americas,"[""Cypher"", ""Killjoy""]",750,1.13,196.9,1.36,78,132.2,0.74,0.22,0.06,0.06,32,19
none,VCT Game Changers,9ZG.GC,Brazil,Americas,"[""Jett"", ""Raze""]",1050,1.13,259.1,1.16,69,171.7,0.89,0.19,0.22,0.18,23,18
Sadeem,VCT Game Changers,,Saudi Arabia,EMEA,"[""Viper"", ""Brimstone""]",300,1.13,221.7,1.09,73,140.7,0.82,0.33,0.09,0.07,25,16
winter,VCT Game Changers,RZN,Switzerland,EMEA,"[""Reyna"", ""Fade""]",315,1.13,251.1,1.12,68,165.8,0.88,0.21,0.16,0.17,28,15
soko,VCT Game Changers,PIP,Australia,Pacific,"[""Phoenix"", ""Raze""]",210,1.12,228.2,1.11,67,153.4,0.80,0.21,0.12,0.09,31,4
mimi,VCT Game Changers,G2.G,Denmark,EMEA,"[""Breach"", ""Brimstone""]",1064,1.12,189.2,1.21,78,124.5,0.69,0.37,0.07,0.05,30,13
Ivy,VCT Game Changers,AKV.GC,Colombia,Americas,"[""Skye"", ""Chamber""]",936,1.12,211.1,1.15,75,141.9,0.76,0.33,0.10,0.10,33,20
micaela,VCT Game Changers,KRÜ.B,Argentina,Americas,"[""Raze"", ""Jett""]",750,1.12,195.4,1.22,78,130.4,0.72,0.35,0.09,0.09,34,20
sarahcat,VCT Game Changers,SR,Canada,Americas,"[""Viper"", ""Sova""]",1260,1.12,224.8,1.18,77,144.6,0.77,0.33,0.11,0.11,25,22
anesilia,VCT Game Changers,GMX.L,Russian Federation,EMEA,"[""Skye"", ""Fade""]",470,1.12,196.9,1.10,79,128.7,0.68,0.54,0.08,0.06,21,26
Thuy,VCT Game Changers,ZER.M,France,EMEA,"[""Omen"", ""Viper""]",595,1.12,213.5,1.15,76,136.6,0.77,0.38,0.09,0.10,25,31
jduh,VCT Game Changers,BBL.Q,Türkiye,Pacific,"[""Fade"", ""Astra""]",913,1.12,204.8,1.13,73,131.8,0.74,0.34,0.06,0.08,36,22
amxlist,VCT Game Changers,,Brazil,Americas,"[""Breach"", ""KAY/O""]",443,1.12,197.3,1.04,76,129.8,0.68,0.55,0.07,0.07,34,12
may,VCT Game Changers,GMX.L,France,EMEA,"[""Killjoy"", ""Raze""]",280,1.11,236.1,1.17,75,149.5,0.84,0.16,0.15,0.10,20,6
meL,VCT Game Changers,SR,United States,Americas,"[""Omen"", ""Viper""]",1260,1.10,208.7,1.12,78,132.2,0.71,0.46,0.11,0.09,27,18
LizA,VCT Game Changers,VLNT,N/A,N/A,"[""Killjoy"", ""Cypher""]",1227,1.10,232.3,1.16,69,151.7,0.84,0.14,0.16,0.14,36,17
PIETY,VCT Game Changers,SISU,Philippines,Pacific,"[""Gekko"", ""Breach""]",737,1.10,213.1,1.12,72,142.1,0.74,0.27,0.09,0.05,30,15
JuW,VCT Game Changers,AKV.GC,Guatemala,Americas,"[""Raze"", ""Jett""]",979,1.10,238.1,1.19,74,151.9,0.84,0.22,0.20,0.17,25,24
Bobbiexo,VCT Game Changers,Athe,United Kingdom,EMEA,"[""Killjoy"", ""Cypher""]",390,1.10,210.8,1.14,70,141.6,0.77,0.15,0.07,0.07,26,23
Anva,VCT Game Changers,fuVi,Türkiye,Pacific,"[""Viper"", ""Gekko""]",612,1.10,237.3,1.19,73,153.5,0.83,0.20,0.14,0.11,23,18
LauGuz,VCT Game Changers,MVR,Colombia,Americas,"[""Raze"", ""Jett""]",519,1.10,234.0,1.14,72,156.5,0.84,0.15,0.16,0.13,31,13
LiNLiN,VCT Game Changers,AKV.GC,Costa Rica,Americas,"[""Viper"", ""Omen""]",979,1.10,201.1,1.13,79,137.3,0.75,0.39,0.07,0.06,35,18
JinNy,VCT Game Changers,ALG.GC,Thailand,Pacific,"[""Omen"", ""Astra""]",272,1.09,195.2,1.11,74,140.0,0.72,0.44,0.03,0.04,28,13
DREAM,VCT Game Changers,VLNT,China,China,"[""Viper"", ""Omen""]",640,1.09,203.2,1.15,73,134.4,0.72,0.21,0.07,0.06,23,20
onni,VCT Game Changers,CYG,Japan,Pacific,"[""Omen"", ""Jett""]",211,1.09,230.9,1.08,67,142.1,0.81,0.27,0.12,0.16,26,9
misu,VCT Game Changers,RF.GC,United States,Americas,"[""Sova"", ""Fade""]",1167,1.09,206.4,1.07,74,136.5,0.72,0.35,0.06,0.07,25,18
Noia,VCT Game Changers,SR,Denmark,EMEA,"[""Cypher"", ""Killjoy""]",1260,1.09,205.1,1.19,75,137.7,0.72,0.23,0.08,0.08,27,17
biazik,VCT Game Changers,KRÜ.B,Brazil,Americas,"[""Breach"", ""Sova""]",678,1.09,194.7,1.10,79,133.5,0.68,0.37,0.10,0.07,24,16
Buffala,VCT Game Changers,BBB,Dominican Republic,Americas,"[""Killjoy"", ""Yoru""]",311,1.09,230.6,1.08,67,153.5,0.80,0.26,0.17,0.14,27,20
Naxa,VCT Game Changers,ZEN.GC,Chile,Americas,"[""Jett"", ""Raze""]",607,1.09,253.6,1.12,67,167.8,0.90,0.17,0.18,0.16,27,8
madv,VCT Game Changers,FLCV,Saudi Arabia,EMEA,"[""Breach"", ""Astra""]",1407,1.08,204.5,1.08,75,132.5,0.72,0.39,0.08,0.07,37,18
h6tedthemost,VCT Game Changers,ACE,N/A,N/A,"[""Omen"", ""Brimstone""]",221,1.08,211.7,1.11,76,130.3,0.76,0.41,0.08,0.09,28,14
bae,VCT Game Changers,,Chile,Americas,"[""Fade"", ""Raze""]",455,1.08,206.7,1.01,72,142.0,0.72,0.26,0.08,0.09,28,13
klaudia,VCT Game Changers,O1O,United States,Americas,"[""KAY/O""]",691,1.08,200.3,1.05,78,132.6,0.70,0.55,0.06,0.05,27,18
Ayumiii,VCT Game Changers,RRQ.K,Malaysia,Pacific,"[""Deadlock"", ""Raze""]",745,1.08,229.1,1.11,72,150.5,0.78,0.27,0.16,0.15,22,18
Glance,VCT Game Changers,KC.GC,Russian Federation,EMEA,"[""Omen"", ""Sova""]",1103,1.08,200.9,1.07,74,134.7,0.71,0.33,0.06,0.05,27,19
Xaline,VCT Game Changers,Huge,France,EMEA,"[""Cypher"", ""Deadlock""]",319,1.08,213.8,1.10,71,145.0,0.75,0.24,0.08,0.10,23,10
melya,VCT Game Changers,MYTH,Pakistan,Pacific,"[""Raze"", ""Jett""]",872,1.08,219.0,1.05,73,145.6,0.75,0.34,0.08,0.07,27,14
edith,VCT Game Changers,YFP ,United States,Americas,"[""Jett"", ""Raze""]",264,1.07,228.7,1.14,64,149.5,0.81,0.14,0.16,0.20,27,15
amy,VCT Game Changers,G2.G,Netherlands,EMEA,"[""Cypher"", ""Killjoy""]",1064,1.07,200.4,1.24,74,135.4,0.75,0.23,0.08,0.06,33,16
ritsu,VCT Game Changers,Gala,Türkiye,Pacific,"[""Killjoy"", ""Cypher""]",394,1.07,214.2,1.10,68,148.0,0.77,0.13,0.12,0.09,32,10
alexis,VCT Game Changers,SR,United States,Americas,"[""Skye"", ""Harbor""]",1260,1.07,175.1,1.06,78,111.1,0.63,0.53,0.06,0.05,31,20
kv7m,VCT Game Changers,UNta,United States,Americas,"[""Omen"", ""Viper""]",284,1.07,189.7,1.07,75,125.6,0.67,0.50,0.04,0.06,28,20
karie,VCT Game Changers,SNG,Fiji,Pacific,"[""Killjoy"", ""Cypher""]",1212,1.07,217.7,1.10,71,145.1,0.79,0.22,0.07,0.06,29,12
moshieroo,VCT Game Changers,SK.N,Sweden,EMEA,"[""KAY/O"", ""Sova""]",343,1.07,210.0,1.01,75,136.2,0.73,0.43,0.08,0.08,29,16
ja2,VCT Game Changers,Huge,France,EMEA,"[""Raze"", ""Neon""]",319,1.07,226.4,1.11,68,144.5,0.81,0.24,0.17,0.18,23,20
Leyre,VCT Game Changers,TU.O,Spain,EMEA,"[""Astra"", ""Omen""]",914,1.06,209.7,1.07,73,138.6,0.75,0.37,0.09,0.08,37,16
aluvily,VCT Game Changers,Sere,United States,Americas,"[""Brimstone"", ""Omen""]",576,1.06,213.6,1.06,71,144.1,0.78,0.21,0.10,0.09,32,10
ary,VCT Game Changers,DAS,Chile,Americas,"[""Harbor"", ""Brimstone""]",204,1.06,236.3,1.07,69,147.7,0.80,0.32,0.12,0.08,21,14
suzu,VCT Game Changers,FL.GC,Japan,Pacific,"[""Omen"", ""Raze""]",628,1.06,244.0,1.13,71,161.6,0.85,0.23,0.19,0.20,25,13
Kazler,VCT Game Changers,RF.GC,Poland,EMEA,"[""Omen"", ""Sova""]",964,1.06,210.6,1.03,73,137.1,0.74,0.36,0.09,0.09,30,29
Smurfette,VCT Game Changers,GX.GC,Türkiye,Pacific,"[""Jett"", ""Raze""]",1373,1.06,237.0,1.14,70,155.3,0.84,0.16,0.21,0.17,27,17
Tweeya,VCT Game Changers,,Philippines,Pacific,"[""Clove"", ""Viper""]",320,1.06,223.9,1.05,73,147.3,0.79,0.29,0.05,0.10,17,9
star,VCT Game Changers,FKS.S,Germany,EMEA,"[""Jett"", ""Raze""]",218,1.06,226.1,1.14,72,147.8,0.81,0.16,0.17,0.15,33,5
nicky,VCT Game Changers,,Argentina,Americas,"[""Omen"", ""Viper""]",1050,1.06,202.2,1.02,73,131.2,0.71,0.36,0.08,0.06,31,17
Mary,VCT Game Changers,FLCV,Bahrain,EMEA,"[""Jett"", ""Chamber""]",693,1.06,243.5,1.12,67,159.1,0.86,0.17,0.21,0.19,33,15
Jazzyk1ns,VCT Game Changers,PP,Canada,Americas,"[""Raze"", ""Cypher""]",828,1.06,217.2,1.10,71,147.2,0.74,0.23,0.13,0.13,21,22
PuriTy,VCT Game Changers,SK.N,Serbia,EMEA,"[""Fade"", ""Gekko""]",206,1.06,208.5,1.01,73,136.4,0.72,0.31,0.06,0.05,26,3
mandy,VCT Game Changers,TBS,Brazil,Americas,"[""Jett"", ""Raze""]",819,1.05,227.7,1.04,69,150.5,0.81,0.33,0.13,0.13,34,16
Alessia,VCT Game Changers,MDK,Spain,EMEA,"[""Jett"", ""Chamber""]",740,1.05,201.0,1.13,67,133.5,0.75,0.14,0.11,0.13,36,18
332,VCT Game Changers,MIR.GC,"Korea, Republic of",Pacific,"[""Killjoy"", ""Viper""]",335,1.05,208.9,1.11,72,138.3,0.73,0.26,0.08,0.08,27,6
ellie,VCT Game Changers,aTTaX,Germany,EMEA,"[""Jett"", ""Raze""]",785,1.05,222.0,1.11,68,146.3,0.81,0.14,0.16,0.18,31,13
Pinkalie,VCT Game Changers,ZER.M,France,EMEA,"[""Omen"", ""Skye""]",410,1.05,183.8,0.99,79,118.3,0.66,0.51,0.07,0.06,29,15
